cluster,n_train,n_val,rmse,mae,cv_rmse,rmsle
0,461555,148056,112.34420162789516,28.980611145936308,0.9996843568844301,0.6518974100611772
1,679146,239098,1419.3480446810715,355.7669869454369,0.7708398449355336,0.9794823585111403
2,1472077,507755,546.2835349175734,86.22314811666216,1.3990229141684392,0.4640536826237484
3,2785779,950696,8109.6182228021235,232.9892357536172,9.610287023606116,0.5693130658017961
4,386412,123900,263.0063548488414,96.71307004299382,1.0148762530984954,1.0979735773988428
