k,inertia,n_iter
2,1.7970168590545654,12
3,1.5312106609344482,15
4,1.2964355945587158,15
5,1.1551551818847656,16
6,1.0905553102493286,12
7,0.9988929629325867,17
8,0.9715583920478821,21
9,0.892052412033081,16
10,0.8383931517601013,14
