cluster,n_train,n_val,rmse,mae,cv_rmse,train_seconds
0,461555,149773,108.08877591143111,28.072160098846407,0.9724182058997439,0
1,679146,239178,1343.9632520955104,348.53057627692476,0.7289522438385276,0
2,1472077,508966,557.1538541325664,87.51697392175355,1.4301529177974317,0
3,2785779,953305,7894.966025793894,226.84798301282396,9.376848143458231,0
4,386412,123900,263.0063548488414,96.71307004299382,1.0148762530984954,0
