,RMSE,MAE,train_s
elasticnet,6319.320963411491,675.2976151446037,54.79328195799826
ols,6428.2539132964075,676.5722202814437,3.7082663330002106
ridge,6428.257800110789,676.5722326071057,10.225552957999753
lasso,6557.714869350015,677.0153288320633,8.429380500001571
