max_depth,rmse,train_seconds
4,5732.915008035368,20.228081375003967
8,4625.232782334331,38.825197666999884
12,4687.433443572767,56.08147729199845
16,4987.2036090740385,71.36265158400056
20,4990.190627845553,83.01502258300025
24,4990.544809725528,90.1886009170048
