2026-05-07 17:24:17 | INFO | __main__ | ep=7  chunk 0/49  elapsed=36.1 min
2026-05-07 17:25:18 | INFO | __main__ | ep=7  chunk 10/49  elapsed=37.1 min
2026-05-07 17:26:20 | INFO | __main__ | ep=7  chunk 20/49  elapsed=38.1 min
2026-05-07 17:27:22 | INFO | __main__ | ep=7  chunk 30/49  elapsed=39.2 min
2026-05-07 17:28:23 | INFO | __main__ | ep=7  chunk 40/49  elapsed=40.2 min
2026-05-07 17:29:22 | INFO | __main__ | ep=7  train_mse=1.4532  val_mse=1.3803  elapsed=41.1 min
2026-05-07 17:29:22 | INFO | __main__ | ep=8  chunk 0/49  elapsed=41.1 min
2026-05-07 17:30:25 | INFO | __main__ | ep=8  chunk 10/49  elapsed=42.2 min
2026-05-07 17:31:27 | INFO | __main__ | ep=8  chunk 20/49  elapsed=43.2 min
2026-05-07 17:32:29 | INFO | __main__ | ep=8  chunk 30/49  elapsed=44.3 min
2026-05-07 17:33:28 | INFO | __main__ | ep=8  chunk 40/49  elapsed=45.2 min
2026-05-07 17:34:28 | INFO | __main__ | ep=8  train_mse=1.4020  val_mse=1.4960  elapsed=46.2 min
2026-05-07 17:34:28 | INFO | __main__ | ep=9  chunk 0/49  elapsed=46.2 min
2026-05-07 17:35:30 | INFO | __main__ | ep=9  chunk 10/49  elapsed=47.3 min
2026-05-07 17:36:31 | INFO | __main__ | ep=9  chunk 20/49  elapsed=48.3 min
2026-05-07 17:37:33 | INFO | __main__ | ep=9  chunk 30/49  elapsed=49.3 min
2026-05-07 17:38:34 | INFO | __main__ | ep=9  chunk 40/49  elapsed=50.4 min
2026-05-07 17:39:35 | INFO | __main__ | ep=9  train_mse=1.3567  val_mse=1.2906  elapsed=51.4 min
2026-05-07 17:39:35 | INFO | __main__ | ep=10  chunk 0/49  elapsed=51.4 min
2026-05-07 17:40:38 | INFO | __main__ | ep=10  chunk 10/49  elapsed=52.4 min
2026-05-07 17:41:38 | INFO | __main__ | ep=10  chunk 20/49  elapsed=53.4 min
2026-05-07 17:42:39 | INFO | __main__ | ep=10  chunk 30/49  elapsed=54.4 min
2026-05-07 17:43:38 | INFO | __main__ | ep=10  chunk 40/49  elapsed=55.4 min
2026-05-07 17:44:36 | INFO | __main__ | ep=10  train_mse=1.3561  val_mse=1.1704  elapsed=56.4 min
2026-05-07 17:44:36 | INFO | __main__ | ep=11  chunk 0/49  elapsed=56.4 min
2026-05-07 17:45:37 | INFO | __main__ | ep=11  chunk 10/49  elapsed=57.4 min
2026-05-07 17:46:38 | INFO | __main__ | ep=11  chunk 20/49  elapsed=58.4 min
2026-05-07 17:47:39 | INFO | __main__ | ep=11  chunk 30/49  elapsed=59.4 min
2026-05-07 17:48:40 | INFO | __main__ | ep=11  chunk 40/49  elapsed=60.5 min
2026-05-07 17:49:37 | INFO | __main__ | ep=11  train_mse=1.3158  val_mse=1.7927  elapsed=61.4 min
2026-05-07 17:49:37 | INFO | __main__ | Running full validation inference over all 970 meters...
2026-05-07 17:55:11 | INFO | __main__ | Collected 1969505 predictions (99.7% of val_full).
2026-05-07 17:55:12 | INFO | __main__ | [lstm_full] RMSE=5188.93 | MAE=352.52 | CV-RMSE=6.861 | coverage=99.7%
2026-05-07 17:55:12 | INFO | __main__ | Saved predictions to /Users/akhileshvangala/Desktop/Predicting Building Energy Consumption/results/metrics/predictions_engineered/lstm_full_log_preds.npy
2026-05-07 17:55:12 | INFO | __main__ | Updated /Users/akhileshvangala/Desktop/Predicting Building Energy Consumption/results/tables/models_engineered.csv and /Users/akhileshvangala/Desktop/Predicting Building Energy Consumption/results/metrics/models_engineered.json
