strategy,label,n_train,n_val,train_seconds,rmse,mae,cv_rmse,rmsle
drop,Drop streaks (current),5784969,1975122,286.8,5721.857747034249,200.66290908343768,7.581468784823488,0.676496409774401
ffill,Forward fill,6176536,2147341,363.4,5381.776148130814,185.07106481656567,7.542367982653451,0.6563281151761131
meter_mean,Meter mean fill,6176536,2147341,293.0,5368.744218848013,186.5052665765119,7.447223632369951,0.6646395409117828
keep_zeros,Keep zeros,6176536,2147341,272.1,5428.8012119628365,183.72359168786568,7.8134322763987125,0.6677114091753034
